haplotype_id,protein_id,n_binders,n_binders_tmh,n_spots,n_spots_tmh
h20,p1,0,0,69,28
h20,p2,3,0,74,0
h20,p3,4,0,84,0
h20,p4,6,0,180,0
h20,p5,21,0,1423,0
h20,p6,0,0,194,0
h20,p7,0,0,104,0
h20,p8,21,4,844,103
h20,p9,7,0,488,0
